Date,PST,Outflow
19960531,0000,m
19960601,0000,1543
19960602,0000,1637
19960603,0000,1543
19960604,0000,1250
19960605,0000,1792
19960606,0000,1482
19960607,0000,2394
19960608,0000,2310
19960609,0000,2506
19960610,0000,2534
19960611,0000,2585
19960612,0000,2349
19960613,0000,2413
19960614,0000,2125
19960615,0000,3460
19960616,0000,3321
19960617,0000,3234
19960618,0000,3235
19960619,0000,3295
19960620,0000,3299
19960621,0000,3252
19960622,0000,3140
19960623,0000,3224
19960624,0000,3173
19960625,0000,3506
19960626,0000,3634
19960627,0000,3631
19960628,0000,3613
19960629,0000,3678
19960630,0000,3668
19960701,0000,3603
19960702,0000,3646
19960703,0000,3675
19960704,0000,3644
19960705,0000,3649
19960706,0000,3662
19960707,0000,3625
19960708,0000,3431
19960709,0000,3657
19960710,0000,3664
19960711,0000,3614
19960712,0000,3610
19960713,0000,3430
19960714,0000,3576
19960715,0000,3661
19960716,0000,3573
19960717,0000,3450
19960718,0000,3531
19960719,0000,3293
19960720,0000,3296
19960721,0000,3575
19960722,0000,3592
19960723,0000,3590
19960724,0000,3629
19960725,0000,3342
19960726,0000,3497
19960727,0000,3475
19960728,0000,3456
19960729,0000,3466
19960730,0000,3550
19960731,0000,3489
19960801,0000,3437
19960802,0000,3422
19960803,0000,3585
19960804,0000,3662
19960805,0000,3005
19960806,0000,2123
19960807,0000,2125
19960808,0000,2094
19960809,0000,3510
19960810,0000,3507
19960811,0000,3593
19960812,0000,3622
19960813,0000,3588
19960814,0000,3589
19960815,0000,3553
19960816,0000,3550
19960817,0000,3542
19960818,0000,3564
19960819,0000,3071
19960820,0000,3555
19960821,0000,3578
19960822,0000,3622
19960823,0000,3628
19960824,0000,3627
19960825,0000,3628
19960826,0000,3633
19960827,0000,3273
19960828,0000,3646
19960829,0000,3570
19960830,0000,3539
19960831,0000,3624
19960901,0000,3556
19960902,0000,3345
19960903,0000,3498
19960904,0000,3547
19960905,0000,3580
19960906,0000,3628
19960907,0000,3625
19960908,0000,3593
19960909,0000,3630
19960910,0000,3594
19960911,0000,3604
19960912,0000,2249
19960913,0000,3015
19960914,0000,2576
19960915,0000,2350
19960916,0000,2348
19960917,0000,2860
19960918,0000,2618
19960919,0000,2613
19960920,0000,2469
19960921,0000,2174
19960922,0000,2684
19960923,0000,2670
19960924,0000,2553
19960925,0000,1802
19960926,0000,2505
19960927,0000,2868
19960928,0000,2922
19960929,0000,2935
19960930,0000,2933
19961001,0000,3015
19961002,0000,2708
19961003,0000,2914
19961004,0000,2911
19961005,0000,3193
19961006,0000,2789
19961007,0000,3294
19961008,0000,3295
19961009,0000,3041
19961010,0000,2007
19961011,0000,1608
19961012,0000,2072
19961013,0000,1709
19961014,0000,1323
19961015,0000,1305
19961016,0000,1226
19961017,0000,1130
19961018,0000,1494
19961019,0000,1304
19961020,0000,1065
19961021,0000,1064
19961022,0000,300
19961023,0000,300
19961024,0000,300
19961025,0000,300
19961026,0000,300
19961027,0000,300
19961028,0000,300
19961029,0000,300
19961030,0000,474
19961031,0000,300
19961101,0000,300
19961102,0000,422
19961103,0000,300
19961104,0000,300
19961105,0000,300
19961106,0000,300
19961107,0000,300
19961108,0000,m
19961109,0000,300
19961110,0000,443
19961111,0000,300
19961112,0000,300
19961113,0000,300
19961114,0000,329
19961115,0000,300
19961116,0000,300
19961117,0000,444
19961118,0000,300
19961119,0000,300
19961120,0000,300
19961121,0000,300
19961122,0000,300
19961123,0000,300
19961124,0000,300
19961125,0000,314
19961126,0000,1124
19961127,0000,713
19961128,0000,551
19961129,0000,648
